price_log_id,brand,itinerary_name,region,cabin_category,sail_date,price_usd,recorded_at,_fivetran_synced
PL000000032,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-02-12,5036.73,2026-04-05T21:19:00.302818,2026-04-05T21:19:00.302818
PL000000033,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-02-12,1313.68,2026-04-05T21:19:00.302820,2026-04-05T21:19:00.302820
PL000000034,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-02-12,2021.61,2026-04-05T21:19:00.302821,2026-04-05T21:19:00.302822
PL000000035,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-02-12,1196.29,2026-04-05T21:19:00.302823,2026-04-05T21:19:00.302824
PL000000036,Norwegian,Caribbean Classic,Caribbean,Inside,2022-02-19,6051.94,2026-04-05T21:19:00.302825,2026-04-05T21:19:00.302826
PL000000037,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-02-19,1367.96,2026-04-05T21:19:00.302827,2026-04-05T21:19:00.302827
PL000000038,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-02-19,1851.77,2026-04-05T21:19:00.302829,2026-04-05T21:19:00.302829
PL000000039,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-02-19,1128.54,2026-04-05T21:19:00.302830,2026-04-05T21:19:00.302831
PL000000040,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-02-19,3791.91,2026-04-05T21:19:00.302832,2026-04-05T21:19:00.302833
PL000000041,Norwegian,Caribbean Classic,Caribbean,Inside,2022-02-26,2005.51,2026-04-05T21:19:00.302834,2026-04-05T21:19:00.302835
PL000000042,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-02-26,4896.24,2026-04-05T21:19:00.302836,2026-04-05T21:19:00.302837
PL000000043,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-02-26,4930.34,2026-04-05T21:19:00.302838,2026-04-05T21:19:00.302838
PL000000044,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-02-26,4245.54,2026-04-05T21:19:00.302840,2026-04-05T21:19:00.302840
PL000000045,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-02-26,4299.37,2026-04-05T21:19:00.302841,2026-04-05T21:19:00.302842
PL000000046,Norwegian,Caribbean Classic,Caribbean,Inside,2022-03-05,844.68,2026-04-05T21:19:00.302844,2026-04-05T21:19:00.302844
PL000000047,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-03-05,6157.82,2026-04-05T21:19:00.302845,2026-04-05T21:19:00.302846
PL000000048,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-03-05,2728.03,2026-04-05T21:19:00.302847,2026-04-05T21:19:00.302848
PL000000049,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-03-05,6140.38,2026-04-05T21:19:00.302849,2026-04-05T21:19:00.302849
PL000000050,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-03-05,4501.01,2026-04-05T21:19:00.302851,2026-04-05T21:19:00.302852
PL000000051,Norwegian,Caribbean Classic,Caribbean,Inside,2022-03-12,4793.37,2026-04-05T21:19:00.302853,2026-04-05T21:19:00.302854
PL000000052,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-03-12,1304.32,2026-04-05T21:19:00.302855,2026-04-05T21:19:00.302856
PL000000053,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-03-12,4254.96,2026-04-05T21:19:00.302857,2026-04-05T21:19:00.302858
PL000000054,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-03-12,3563.65,2026-04-05T21:19:00.302859,2026-04-05T21:19:00.302859
PL000000055,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-03-12,5725.73,2026-04-05T21:19:00.302861,2026-04-05T21:19:00.302861
PL000000056,Norwegian,Caribbean Classic,Caribbean,Inside,2022-03-19,6001.31,2026-04-05T21:19:00.302863,2026-04-05T21:19:00.302863
PL000000057,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-03-19,2650.15,2026-04-05T21:19:00.302865,2026-04-05T21:19:00.302865
PL000000058,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-03-19,5831.92,2026-04-05T21:19:00.302866,2026-04-05T21:19:00.302867
PL000000059,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-03-19,3497.43,2026-04-05T21:19:00.302868,2026-04-05T21:19:00.302869
PL000000060,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-03-19,6039.45,2026-04-05T21:19:00.302870,2026-04-05T21:19:00.302870
PL000000061,Norwegian,Caribbean Classic,Caribbean,Inside,2022-03-26,5425.49,2026-04-05T21:19:00.302872,2026-04-05T21:19:00.302872
PL000000062,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-03-26,2399.5,2026-04-05T21:19:00.302874,2026-04-05T21:19:00.302874
PL000000063,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-03-26,4090.94,2026-04-05T21:19:00.302875,2026-04-05T21:19:00.302876
PL000000064,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-03-26,2959.22,2026-04-05T21:19:00.302877,2026-04-05T21:19:00.302878
PL000000065,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-03-26,1418.15,2026-04-05T21:19:00.302879,2026-04-05T21:19:00.302879
PL000000066,Norwegian,Caribbean Classic,Caribbean,Inside,2022-04-02,3794.83,2026-04-05T21:19:00.302881,2026-04-05T21:19:00.302882
PL000000067,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-04-02,1746.61,2026-04-05T21:19:00.302883,2026-04-05T21:19:00.302883
PL000000068,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-04-02,1908.3,2026-04-05T21:19:00.302885,2026-04-05T21:19:00.302886
PL000000069,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-04-02,799.59,2026-04-05T21:19:00.302887,2026-04-05T21:19:00.302887
PL000000070,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-04-02,2142.71,2026-04-05T21:19:00.302889,2026-04-05T21:19:00.302889
PL000000071,Norwegian,Caribbean Classic,Caribbean,Inside,2022-04-09,3274.93,2026-04-05T21:19:00.302891,2026-04-05T21:19:00.302891
PL000000072,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-04-09,3802.26,2026-04-05T21:19:00.302892,2026-04-05T21:19:00.302893
PL000000073,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-04-09,2953.46,2026-04-05T21:19:00.302894,2026-04-05T21:19:00.302895
PL000000074,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-04-09,4399.85,2026-04-05T21:19:00.302896,2026-04-05T21:19:00.302896
PL000000075,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-04-09,2344.34,2026-04-05T21:19:00.302898,2026-04-05T21:19:00.302898
PL000000076,Norwegian,Caribbean Classic,Caribbean,Inside,2022-04-16,1463.57,2026-04-05T21:19:00.302900,2026-04-05T21:19:00.302900
PL000000077,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-04-16,3115.73,2026-04-05T21:19:00.302901,2026-04-05T21:19:00.302902
PL000000078,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-04-16,3086.69,2026-04-05T21:19:00.302904,2026-04-05T21:19:00.302905
PL000000079,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-04-16,3469.68,2026-04-05T21:19:00.302906,2026-04-05T21:19:00.302907
PL000000080,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-04-16,1237.93,2026-04-05T21:19:00.302908,2026-04-05T21:19:00.302908
PL000000081,Norwegian,Caribbean Classic,Caribbean,Inside,2022-04-23,4321.77,2026-04-05T21:19:00.302910,2026-04-05T21:19:00.302910
PL000000082,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-04-23,4515.89,2026-04-05T21:19:00.302912,2026-04-05T21:19:00.302912
PL000000083,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-04-23,3537.18,2026-04-05T21:19:00.302913,2026-04-05T21:19:00.302914
PL000000084,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-04-23,4907.57,2026-04-05T21:19:00.302915,2026-04-05T21:19:00.302916
PL000000085,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-04-23,630.8,2026-04-05T21:19:00.302921,2026-04-05T21:19:00.302922
PL000000086,Norwegian,Caribbean Classic,Caribbean,Inside,2022-04-30,4226.78,2026-04-05T21:19:00.302924,2026-04-05T21:19:00.302924
PL000000087,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-04-30,1908.11,2026-04-05T21:19:00.302926,2026-04-05T21:19:00.302926
PL000000088,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-04-30,3146.93,2026-04-05T21:19:00.302927,2026-04-05T21:19:00.302928
PL000000089,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-04-30,3631.47,2026-04-05T21:19:00.302929,2026-04-05T21:19:00.302930
PL000000090,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-04-30,4648.82,2026-04-05T21:19:00.302931,2026-04-05T21:19:00.302932
PL000000091,Norwegian,Caribbean Classic,Caribbean,Inside,2022-05-07,3393.01,2026-04-05T21:19:00.302933,2026-04-05T21:19:00.302934
PL000000092,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-05-07,2605.69,2026-04-05T21:19:00.302935,2026-04-05T21:19:00.302936
PL000000093,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-05-07,1473.16,2026-04-05T21:19:00.302937,2026-04-05T21:19:00.302937
PL000000094,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-05-07,1993.91,2026-04-05T21:19:00.302939,2026-04-05T21:19:00.302939
PL000000095,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-05-07,2165.2,2026-04-05T21:19:00.302940,2026-04-05T21:19:00.302941
PL000000096,Norwegian,Caribbean Classic,Caribbean,Inside,2022-05-14,4225.22,2026-04-05T21:19:00.302943,2026-04-05T21:19:00.302943
PL000000097,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-05-14,2510.94,2026-04-05T21:19:00.302944,2026-04-05T21:19:00.302945
PL000000098,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-05-14,1086.32,2026-04-05T21:19:00.302946,2026-04-05T21:19:00.302947
PL000000099,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-05-14,4244.22,2026-04-05T21:19:00.302948,2026-04-05T21:19:00.302948
PL000000100,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-05-14,2914.99,2026-04-05T21:19:00.302950,2026-04-05T21:19:00.302950
PL000000101,Norwegian,Caribbean Classic,Caribbean,Inside,2022-05-21,3285.69,2026-04-05T21:19:00.302952,2026-04-05T21:19:00.302952
PL000000102,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-05-21,2968.81,2026-04-05T21:19:00.302953,2026-04-05T21:19:00.302954
PL000000103,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-05-21,4090.32,2026-04-05T21:19:00.302955,2026-04-05T21:19:00.302956
PL000000104,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-05-21,1050.98,2026-04-05T21:19:00.302957,2026-04-05T21:19:00.302957
PL000000105,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-05-21,3669.68,2026-04-05T21:19:00.302959,2026-04-05T21:19:00.302959
PL000000106,Norwegian,Caribbean Classic,Caribbean,Inside,2022-05-28,3876.9,2026-04-05T21:19:00.302961,2026-04-05T21:19:00.302961
PL000000107,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-05-28,4840.81,2026-04-05T21:19:00.302962,2026-04-05T21:19:00.302963
PL000000108,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-05-28,1219.09,2026-04-05T21:19:00.302964,2026-04-05T21:19:00.302965
PL000000109,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-05-28,4926.32,2026-04-05T21:19:00.302966,2026-04-05T21:19:00.302967
PL000000110,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-05-28,2668.58,2026-04-05T21:19:00.302968,2026-04-05T21:19:00.302969
PL000000111,Norwegian,Caribbean Classic,Caribbean,Inside,2022-06-04,4655.15,2026-04-05T21:19:00.302970,2026-04-05T21:19:00.302971
PL000000112,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-06-04,3361.51,2026-04-05T21:19:00.302972,2026-04-05T21:19:00.302972
PL000000113,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-06-04,2185.11,2026-04-05T21:19:00.302974,2026-04-05T21:19:00.302974
PL000000114,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-06-04,4509.96,2026-04-05T21:19:00.302976,2026-04-05T21:19:00.302976
PL000000115,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-06-04,1047.78,2026-04-05T21:19:00.302977,2026-04-05T21:19:00.302978
PL000000116,Norwegian,Caribbean Classic,Caribbean,Inside,2022-06-11,712.16,2026-04-05T21:19:00.302979,2026-04-05T21:19:00.302980
PL000000117,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-06-11,1399.81,2026-04-05T21:19:00.302981,2026-04-05T21:19:00.302982
PL000000118,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-06-11,4843.04,2026-04-05T21:19:00.302983,2026-04-05T21:19:00.302983
PL000000119,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-06-11,3268.46,2026-04-05T21:19:00.302985,2026-04-05T21:19:00.302985
PL000000120,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-06-11,2904.0,2026-04-05T21:19:00.302987,2026-04-05T21:19:00.302987
PL000000121,Norwegian,Caribbean Classic,Caribbean,Inside,2022-06-18,4556.93,2026-04-05T21:19:00.302989,2026-04-05T21:19:00.302989
PL000000122,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-06-18,3163.36,2026-04-05T21:19:00.302990,2026-04-05T21:19:00.302991
PL000000123,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-06-18,2885.88,2026-04-05T21:19:00.302992,2026-04-05T21:19:00.302993
PL000000124,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-06-18,3087.31,2026-04-05T21:19:00.302994,2026-04-05T21:19:00.302995
PL000000125,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-06-18,872.96,2026-04-05T21:19:00.302996,2026-04-05T21:19:00.302996
PL000000126,Norwegian,Caribbean Classic,Caribbean,Inside,2022-06-25,2906.19,2026-04-05T21:19:00.302998,2026-04-05T21:19:00.302999
PL000000127,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-06-25,4016.98,2026-04-05T21:19:00.303000,2026-04-05T21:19:00.303000
PL000000128,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-06-25,1871.07,2026-04-05T21:19:00.303002,2026-04-05T21:19:00.303002
PL000000129,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-06-25,2882.93,2026-04-05T21:19:00.303003,2026-04-05T21:19:00.303004
PL000000130,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-06-25,4500.74,2026-04-05T21:19:00.303006,2026-04-05T21:19:00.303006
PL000000131,Norwegian,Caribbean Classic,Caribbean,Inside,2022-07-02,2970.01,2026-04-05T21:19:00.303008,2026-04-05T21:19:00.303008
PL000000132,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-07-02,2986.18,2026-04-05T21:19:00.303010,2026-04-05T21:19:00.303010
PL000000133,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-07-02,4218.88,2026-04-05T21:19:00.303012,2026-04-05T21:19:00.303012
PL000000134,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-07-02,3800.15,2026-04-05T21:19:00.303013,2026-04-05T21:19:00.303014
PL000000135,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-07-02,5152.76,2026-04-05T21:19:00.303015,2026-04-05T21:19:00.303016
PL000000136,Norwegian,Caribbean Classic,Caribbean,Inside,2022-07-09,2610.8,2026-04-05T21:19:00.303017,2026-04-05T21:19:00.303018
PL000000137,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-07-09,4270.58,2026-04-05T21:19:00.303019,2026-04-05T21:19:00.303019
PL000000138,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-07-09,3969.26,2026-04-05T21:19:00.303021,2026-04-05T21:19:00.303021
PL000000139,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-07-09,2116.78,2026-04-05T21:19:00.303023,2026-04-05T21:19:00.303023
PL000000140,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-07-09,4380.93,2026-04-05T21:19:00.303025,2026-04-05T21:19:00.303025
PL000000141,Norwegian,Caribbean Classic,Caribbean,Inside,2022-07-16,1202.25,2026-04-05T21:19:00.303027,2026-04-05T21:19:00.303027
PL000000142,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-07-16,2542.98,2026-04-05T21:19:00.303028,2026-04-05T21:19:00.303029
PL000000143,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-07-16,4623.19,2026-04-05T21:19:00.303030,2026-04-05T21:19:00.303031
PL000000144,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-07-16,3074.58,2026-04-05T21:19:00.303032,2026-04-05T21:19:00.303032
PL000000145,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-07-16,1853.52,2026-04-05T21:19:00.303034,2026-04-05T21:19:00.303034
PL000000146,Norwegian,Caribbean Classic,Caribbean,Inside,2022-07-23,4316.63,2026-04-05T21:19:00.303036,2026-04-05T21:19:00.303036
PL000000147,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-07-23,4777.61,2026-04-05T21:19:00.303038,2026-04-05T21:19:00.303038
PL000000148,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-07-23,3684.4,2026-04-05T21:19:00.303039,2026-04-05T21:19:00.303040
PL000000149,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-07-23,3081.63,2026-04-05T21:19:00.303041,2026-04-05T21:19:00.303042
PL000000150,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-07-23,2300.22,2026-04-05T21:19:00.303043,2026-04-05T21:19:00.303043
PL000000151,Norwegian,Caribbean Classic,Caribbean,Inside,2022-07-30,1786.37,2026-04-05T21:19:00.303045,2026-04-05T21:19:00.303045
PL000000152,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-07-30,4543.71,2026-04-05T21:19:00.303047,2026-04-05T21:19:00.303047
PL000000153,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-07-30,4742.3,2026-04-05T21:19:00.303048,2026-04-05T21:19:00.303049
PL000000154,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-07-30,829.06,2026-04-05T21:19:00.303050,2026-04-05T21:19:00.303051
PL000000155,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-07-30,4499.77,2026-04-05T21:19:00.303052,2026-04-05T21:19:00.303052
PL000000156,Norwegian,Caribbean Classic,Caribbean,Inside,2022-08-06,2380.27,2026-04-05T21:19:00.303054,2026-04-05T21:19:00.303054
PL000000157,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-08-06,2399.17,2026-04-05T21:19:00.303056,2026-04-05T21:19:00.303056
PL000000158,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-08-06,2682.28,2026-04-05T21:19:00.303057,2026-04-05T21:19:00.303058
PL000000159,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-08-06,3008.94,2026-04-05T21:19:00.303059,2026-04-05T21:19:00.303060
PL000000160,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-08-06,1076.04,2026-04-05T21:19:00.303061,2026-04-05T21:19:00.303061
PL000000161,Norwegian,Caribbean Classic,Caribbean,Inside,2022-08-13,1107.42,2026-04-05T21:19:00.303063,2026-04-05T21:19:00.303064
PL000000162,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-08-13,2616.85,2026-04-05T21:19:00.303065,2026-04-05T21:19:00.303065
PL000000163,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-08-13,2835.78,2026-04-05T21:19:00.303067,2026-04-05T21:19:00.303067
PL000000164,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-08-13,4847.11,2026-04-05T21:19:00.303068,2026-04-05T21:19:00.303069
PL000000165,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-08-13,1852.91,2026-04-05T21:19:00.303070,2026-04-05T21:19:00.303070
PL000000166,Norwegian,Caribbean Classic,Caribbean,Inside,2022-08-20,1446.9,2026-04-05T21:19:00.303072,2026-04-05T21:19:00.303073
PL000000167,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-08-20,3598.55,2026-04-05T21:19:00.303074,2026-04-05T21:19:00.303074
PL000000168,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-08-20,2960.23,2026-04-05T21:19:00.303075,2026-04-05T21:19:00.303076
PL000000169,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-08-20,3071.42,2026-04-05T21:19:00.303077,2026-04-05T21:19:00.303078
PL000000170,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-08-20,4714.07,2026-04-05T21:19:00.303085,2026-04-05T21:19:00.303085
PL000000171,Norwegian,Caribbean Classic,Caribbean,Inside,2022-08-27,4175.21,2026-04-05T21:19:00.303087,2026-04-05T21:19:00.303087
PL000000172,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-08-27,1360.39,2026-04-05T21:19:00.303089,2026-04-05T21:19:00.303089
PL000000173,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-08-27,2924.07,2026-04-05T21:19:00.303091,2026-04-05T21:19:00.303091
PL000000174,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-08-27,4941.04,2026-04-05T21:19:00.303093,2026-04-05T21:19:00.303094
PL000000175,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-08-27,1660.56,2026-04-05T21:19:00.303095,2026-04-05T21:19:00.303096
PL000000176,Norwegian,Caribbean Classic,Caribbean,Inside,2022-09-03,962.52,2026-04-05T21:19:00.303097,2026-04-05T21:19:00.303098
PL000000177,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-09-03,1338.67,2026-04-05T21:19:00.303099,2026-04-05T21:19:00.303100
PL000000178,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-09-03,1154.98,2026-04-05T21:19:00.303101,2026-04-05T21:19:00.303102
PL000000179,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-09-03,4663.7,2026-04-05T21:19:00.303103,2026-04-05T21:19:00.303104
PL000000180,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-09-03,4377.96,2026-04-05T21:19:00.303105,2026-04-05T21:19:00.303105
