dining,spa,excursions,beverage,casino,retail,booking_id,guest_id,brand,sail_date,total_onboard_spend_usd,_fivetran_synced
469.75,57.42,191.02,251.3,545.67,87.03,BK0000091,G0014067,Norwegian,2024-03-24,1602.19,2026-04-05T21:18:59.350609
28.9,184.84,730.25,371.5,81.11,166.46,BK0000092,G0017170,Norwegian,2024-07-31,1563.06,2026-04-05T21:18:59.350628
506.63,307.84,572.52,482.17,129.95,36.76,BK0000093,G0004840,Norwegian,2025-07-20,2035.87,2026-04-05T21:18:59.350647
355.1,240.24,629.7,99.51,884.61,202.43,BK0000094,G0018498,Norwegian,2025-07-10,2411.59,2026-04-05T21:18:59.350666
91.11,35.6,10.08,150.5,103.86,376.79,BK0000096,G0001345,Oceania,2025-05-01,767.94,2026-04-05T21:18:59.350685
150.99,652.19,2048.8,396.33,200.54,1060.07,BK0000099,G0004226,Oceania,2025-04-08,4508.92,2026-04-05T21:18:59.350702
193.63,2.45,307.89,86.16,143.9,68.22,BK0000100,G0011198,Norwegian,2022-07-11,802.25,2026-04-05T21:18:59.350719
258.84,419.99,1683.98,186.48,107.86,70.58,BK0000102,G0014711,Oceania,2024-04-21,2727.73,2026-04-05T21:18:59.350735
491.54,165.77,1428.43,467.99,19.11,619.23,BK0000103,G0017284,Oceania,2025-10-21,3192.07,2026-04-05T21:18:59.350752
110.35,526.76,2067.13,443.5,84.15,70.82,BK0000104,G0004086,Oceania,2025-08-06,3302.71,2026-04-05T21:18:59.350768
293.25,454.72,1093.07,432.41,237.04,276.37,BK0000106,G0015372,Norwegian,2022-10-09,2786.86,2026-04-05T21:18:59.350785
31.79,180.87,306.26,234.53,371.38,63.34,BK0000108,G0002806,Norwegian,2023-08-20,1188.17,2026-04-05T21:18:59.350801
286.65,600.43,1557.36,237.17,155.88,384.07,BK0000110,G0015681,Oceania,2023-12-23,3221.56,2026-04-05T21:18:59.350819
182.48,1168.17,505.78,588.11,46.25,114.88,BK0000111,G0013050,Oceania,2023-02-17,2605.67,2026-04-05T21:18:59.350837
366.8,38.89,562.78,99.46,619.71,49.38,BK0000112,G0014410,Norwegian,2022-04-08,1737.02,2026-04-05T21:18:59.350855
188.03,196.62,511.88,408.29,967.69,226.89,BK0000113,G0017875,Norwegian,2023-07-01,2499.4,2026-04-05T21:18:59.350874
243.67,710.11,1958.87,363.19,87.62,127.71,BK0000114,G0011553,Oceania,2024-05-22,3491.17,2026-04-05T21:18:59.350892
0.0,72.0,4304.32,0.0,145.79,1246.37,BK0000115,G0019909,Regent,2024-01-15,5768.48,2026-04-05T21:18:59.350910
263.44,50.53,877.54,729.36,775.0,121.14,BK0000116,G0002520,Norwegian,2025-03-07,2817.01,2026-04-05T21:18:59.350929
313.08,8.48,554.0,682.13,511.76,193.97,BK0000117,G0008530,Norwegian,2022-02-23,2263.42,2026-04-05T21:18:59.350948
0.0,324.64,377.51,0.0,127.99,410.84,BK0000119,G0000862,Regent,2024-11-07,1240.98,2026-04-05T21:18:59.350966
361.32,829.2,3566.78,391.96,370.0,1017.46,BK0000120,G0018839,Oceania,2023-09-26,6536.72,2026-04-05T21:18:59.350985
778.15,348.5,1932.06,1044.73,773.4,499.37,BK0000121,G0004069,Norwegian,2025-02-03,5376.21,2026-04-05T21:18:59.351003
257.28,65.98,1104.7,407.49,724.97,313.24,BK0000122,G0009923,Norwegian,2023-08-05,2873.66,2026-04-05T21:18:59.351022
131.6,130.21,1446.31,225.66,144.96,346.92,BK0000124,G0002392,Norwegian,2023-08-17,2425.66,2026-04-05T21:18:59.351040
367.24,481.02,1721.78,1090.5,815.31,209.58,BK0000125,G0013066,Norwegian,2022-10-22,4685.43,2026-04-05T21:18:59.351058
4.94,112.52,238.6,234.32,601.38,104.96,BK0000126,G0013702,Norwegian,2023-07-02,1296.72,2026-04-05T21:18:59.351076
564.4,248.65,1033.04,30.27,917.18,168.13,BK0000128,G0008667,Norwegian,2025-09-01,2961.67,2026-04-05T21:18:59.351095
47.35,133.71,686.1,236.97,34.83,103.54,BK0000129,G0003894,Norwegian,2025-02-07,1242.5,2026-04-05T21:18:59.351113
252.76,596.0,1472.33,354.14,81.0,41.87,BK0000130,G0010914,Oceania,2023-02-12,2798.1,2026-04-05T21:18:59.351131
180.78,150.37,530.88,113.5,126.58,349.84,BK0000131,G0016624,Oceania,2023-10-15,1451.95,2026-04-05T21:18:59.351150
660.96,932.51,1683.34,1246.38,1014.23,583.23,BK0000132,G0000874,Norwegian,2023-11-10,6120.65,2026-04-05T21:18:59.351168
3.24,756.25,546.54,271.09,50.92,168.72,BK0000133,G0007937,Oceania,2024-09-10,1796.76,2026-04-05T21:18:59.351186
135.38,2.83,652.27,496.37,734.33,323.66,BK0000134,G0002041,Norwegian,2025-11-15,2344.84,2026-04-05T21:18:59.351203
851.76,497.84,982.86,661.93,110.7,698.68,BK0000135,G0008663,Norwegian,2022-12-21,3803.77,2026-04-05T21:18:59.351221
210.56,264.74,21.89,125.68,549.77,70.9,BK0000136,G0008961,Norwegian,2023-08-15,1243.54,2026-04-05T21:18:59.351238
504.1,345.72,1356.8,195.75,595.1,63.81,BK0000137,G0008404,Norwegian,2023-08-18,3061.28,2026-04-05T21:18:59.351254
550.91,404.68,363.0,385.71,438.41,78.71,BK0000138,G0001721,Norwegian,2022-08-12,2221.42,2026-04-05T21:18:59.351271
150.3,467.91,986.05,707.37,70.12,53.49,BK0000139,G0009413,Norwegian,2022-11-20,2435.24,2026-04-05T21:18:59.351288
670.12,138.79,1023.68,294.9,135.15,589.74,BK0000141,G0016523,Norwegian,2023-08-06,2852.38,2026-04-05T21:18:59.351304
63.46,32.67,916.52,943.71,114.96,599.69,BK0000142,G0013288,Norwegian,2022-01-29,2671.01,2026-04-05T21:18:59.351321
926.52,173.66,871.52,113.53,894.63,281.08,BK0000143,G0008749,Norwegian,2024-09-04,3260.94,2026-04-05T21:18:59.351337
398.63,482.19,1386.58,64.45,531.82,95.45,BK0000144,G0010191,Norwegian,2022-05-08,2959.12,2026-04-05T21:18:59.351354
306.94,5.19,526.68,690.85,730.42,392.23,BK0000145,G0007157,Norwegian,2024-07-20,2652.31,2026-04-05T21:18:59.351371
280.4,247.13,339.53,141.02,273.8,73.76,BK0000146,G0004911,Norwegian,2025-03-01,1355.64,2026-04-05T21:18:59.351387
396.09,4.19,1192.68,173.18,470.31,106.87,BK0000148,G0015469,Norwegian,2024-05-17,2343.32,2026-04-05T21:18:59.351404
525.36,120.43,899.85,685.22,611.32,281.64,BK0000149,G0011396,Norwegian,2024-07-07,3123.82,2026-04-05T21:18:59.351423
443.29,331.74,831.12,47.95,150.08,195.92,BK0000150,G0008111,Norwegian,2023-09-04,2000.1,2026-04-05T21:18:59.351441
54.31,157.12,623.23,277.72,192.71,4.99,BK0000152,G0018878,Norwegian,2023-03-21,1310.08,2026-04-05T21:18:59.351460
110.8,487.03,2027.49,344.75,73.4,585.02,BK0000153,G0005739,Oceania,2025-09-14,3628.49,2026-04-05T21:18:59.351478
412.72,78.01,114.54,179.87,205.69,313.55,BK0000154,G0007897,Norwegian,2023-10-15,1304.38,2026-04-05T21:18:59.351496
327.58,437.02,133.34,129.84,804.31,366.14,BK0000155,G0002591,Norwegian,2024-04-25,2198.23,2026-04-05T21:18:59.351514
228.38,448.0,1749.11,353.35,76.26,419.58,BK0000156,G0018313,Oceania,2024-02-12,3274.68,2026-04-05T21:18:59.351533
1083.88,454.73,913.3,1118.51,743.04,73.7,BK0000157,G0007843,Norwegian,2022-08-29,4387.16,2026-04-05T21:18:59.351551
295.25,580.17,503.05,1177.04,1499.85,93.46,BK0000158,G0010494,Norwegian,2024-01-07,4148.82,2026-04-05T21:18:59.351570
139.14,431.97,173.72,483.11,205.97,300.14,BK0000159,G0008053,Norwegian,2023-06-19,1734.05,2026-04-05T21:18:59.351589
13.4,6.17,891.65,171.4,97.69,210.96,BK0000160,G0001925,Oceania,2023-12-23,1391.27,2026-04-05T21:18:59.351607
132.73,97.15,1043.44,70.42,23.77,220.44,BK0000161,G0001981,Oceania,2025-07-15,1587.95,2026-04-05T21:18:59.351626
85.96,393.52,119.71,182.91,31.84,164.52,BK0000162,G0000562,Oceania,2025-02-03,978.46,2026-04-05T21:18:59.351648
0.0,26.13,3108.43,0.0,53.38,847.38,BK0000163,G0013006,Regent,2022-11-01,4035.32,2026-04-05T21:18:59.351667
324.88,64.94,1189.95,676.12,793.6,16.16,BK0000165,G0017795,Norwegian,2023-03-09,3065.65,2026-04-05T21:18:59.351695
0.0,1078.07,4630.2,0.0,543.73,1343.11,BK0000166,G0018480,Regent,2022-10-23,7595.11,2026-04-05T21:18:59.351712
65.13,189.97,377.93,170.22,210.38,192.21,BK0000167,G0019517,Norwegian,2024-10-22,1205.84,2026-04-05T21:18:59.351728
129.33,77.43,585.9,325.38,41.04,0.28,BK0000169,G0003350,Norwegian,2024-01-09,1159.36,2026-04-05T21:18:59.351745
160.97,392.26,926.31,169.3,119.63,390.52,BK0000170,G0012624,Norwegian,2022-02-23,2158.99,2026-04-05T21:18:59.351761
357.31,78.11,1325.07,762.2,134.14,299.36,BK0000171,G0004782,Norwegian,2024-12-03,2956.19,2026-04-05T21:18:59.351778
128.13,345.43,815.12,42.01,266.25,391.48,BK0000172,G0012967,Norwegian,2023-05-21,1988.42,2026-04-05T21:18:59.351794
0.0,139.59,36.11,0.0,46.13,86.49,BK0000173,G0010296,Regent,2025-08-26,308.32,2026-04-05T21:18:59.351811
353.08,254.2,540.55,518.75,489.4,82.62,BK0000174,G0019407,Norwegian,2024-02-10,2238.6,2026-04-05T21:18:59.351828
174.32,331.62,2219.75,1169.48,882.24,129.46,BK0000175,G0009924,Norwegian,2023-08-20,4906.87,2026-04-05T21:18:59.351852
179.03,82.06,641.51,29.85,93.79,639.95,BK0000176,G0017815,Oceania,2024-09-08,1666.19,2026-04-05T21:18:59.351871
90.46,132.47,450.48,346.84,32.66,351.57,BK0000177,G0013095,Oceania,2025-09-08,1404.48,2026-04-05T21:18:59.351896
548.71,18.11,1300.45,263.19,762.16,363.46,BK0000178,G0012260,Norwegian,2023-03-31,3256.08,2026-04-05T21:18:59.351914
256.09,524.65,2548.64,399.1,752.03,290.58,BK0000179,G0011415,Norwegian,2023-08-29,4771.09,2026-04-05T21:18:59.351933
323.47,276.86,4294.21,649.23,91.17,953.76,BK0000181,G0014161,Oceania,2025-02-20,6588.7,2026-04-05T21:18:59.351951
106.18,28.26,1125.4,545.31,278.91,187.17,BK0000183,G0009747,Norwegian,2024-03-06,2271.23,2026-04-05T21:18:59.351969
31.84,192.75,1359.45,686.69,794.42,198.73,BK0000184,G0018836,Norwegian,2022-08-28,3263.88,2026-04-05T21:18:59.351988
164.06,281.89,1452.6,53.56,977.39,330.55,BK0000185,G0000315,Norwegian,2023-08-15,3260.05,2026-04-05T21:18:59.352006
525.58,172.88,806.16,180.19,353.4,276.54,BK0000187,G0017762,Norwegian,2024-11-12,2314.75,2026-04-05T21:18:59.352024
428.16,156.42,1079.92,244.25,726.69,61.47,BK0000188,G0002851,Norwegian,2025-08-31,2696.91,2026-04-05T21:18:59.352042
441.52,265.24,315.38,219.63,755.26,243.93,BK0000189,G0001946,Norwegian,2025-07-19,2240.96,2026-04-05T21:18:59.352060
323.91,307.36,458.09,582.53,321.46,407.64,BK0000190,G0004443,Norwegian,2025-03-18,2400.99,2026-04-05T21:18:59.352079
0.0,383.41,402.21,0.0,135.96,628.14,BK0000191,G0004659,Regent,2022-10-27,1549.72,2026-04-05T21:18:59.352097
170.88,260.61,1477.55,794.69,930.8,239.0,BK0000192,G0019070,Norwegian,2024-11-21,3873.53,2026-04-05T21:18:59.352115
315.39,78.17,1762.88,1374.67,787.3,529.95,BK0000193,G0009293,Norwegian,2024-03-25,4848.36,2026-04-05T21:18:59.352133
0.0,920.62,3791.67,0.0,296.06,418.1,BK0000194,G0014461,Regent,2022-07-23,5426.45,2026-04-05T21:18:59.352151
218.37,234.32,2351.31,234.08,141.02,464.18,BK0000195,G0005424,Oceania,2023-07-16,3643.28,2026-04-05T21:18:59.352170
131.3,213.9,583.91,133.08,150.69,573.45,BK0000196,G0000305,Oceania,2022-01-03,1786.33,2026-04-05T21:18:59.352188
0.0,1156.9,1539.14,0.0,14.38,411.56,BK0000197,G0009806,Regent,2022-05-26,3121.98,2026-04-05T21:18:59.352205
73.34,429.02,1674.77,231.44,195.91,383.81,BK0000198,G0013491,Oceania,2025-08-24,2988.29,2026-04-05T21:18:59.352222
582.07,25.4,668.23,212.37,242.2,197.23,BK0000199,G0002761,Norwegian,2025-04-22,1927.5,2026-04-05T21:18:59.352238
860.52,413.28,2137.88,616.37,1394.58,532.93,BK0000201,G0015435,Norwegian,2022-09-28,5955.56,2026-04-05T21:18:59.352255
372.19,266.63,224.57,474.43,389.67,136.3,BK0000202,G0013182,Norwegian,2022-05-04,1863.79,2026-04-05T21:18:59.352271
24.82,218.84,581.46,476.67,921.45,618.88,BK0000203,G0002167,Norwegian,2024-11-13,2842.12,2026-04-05T21:18:59.352288
164.07,397.38,714.93,79.0,11.34,211.54,BK0000204,G0005756,Oceania,2024-06-08,1578.26,2026-04-05T21:18:59.352305
0.0,9.73,675.55,0.0,38.63,326.96,BK0000206,G0003372,Regent,2024-11-12,1050.87,2026-04-05T21:18:59.352322
506.69,49.26,1209.98,739.23,22.76,298.01,BK0000207,G0001159,Norwegian,2022-04-05,2825.93,2026-04-05T21:18:59.352340
77.8,60.09,484.25,194.26,241.81,26.56,BK0000208,G0016901,Norwegian,2025-03-16,1084.77,2026-04-05T21:18:59.352359
284.01,65.38,664.05,226.06,481.92,189.62,BK0000209,G0007949,Norwegian,2022-06-26,1911.04,2026-04-05T21:18:59.352377
0.0,1060.89,987.68,0.0,72.05,200.79,BK0000210,G0000315,Regent,2022-01-14,2321.41,2026-04-05T21:18:59.352396
24.61,270.96,1110.43,262.98,541.97,350.85,BK0000211,G0009170,Norwegian,2024-12-21,2561.8,2026-04-05T21:18:59.352414
546.57,246.51,294.56,632.1,207.66,184.62,BK0000212,G0002041,Norwegian,2025-04-04,2112.02,2026-04-05T21:18:59.352432
176.0,349.27,1418.87,307.36,463.6,220.04,BK0000213,G0019160,Norwegian,2023-10-14,2935.14,2026-04-05T21:18:59.352451
279.43,1006.16,1514.09,371.74,0.53,65.4,BK0000215,G0005698,Oceania,2025-12-27,3237.35,2026-04-05T21:18:59.352469
375.8,690.28,585.41,626.39,585.5,362.18,BK0000216,G0007284,Norwegian,2024-08-04,3225.56,2026-04-05T21:18:59.352487
0.0,1159.85,2837.64,0.0,342.07,197.02,BK0000218,G0009171,Regent,2022-03-02,4536.58,2026-04-05T21:18:59.352505
179.13,347.78,2111.67,361.65,13.87,511.68,BK0000219,G0017230,Oceania,2024-04-23,3525.78,2026-04-05T21:18:59.352524
0.0,1964.58,6315.0,0.0,570.56,801.67,BK0000220,G0010449,Regent,2024-09-19,9651.81,2026-04-05T21:18:59.352542
99.11,1229.06,1752.79,415.59,195.96,80.64,BK0000221,G0008734,Oceania,2024-01-03,3773.15,2026-04-05T21:18:59.352561
0.0,91.82,213.84,0.0,43.37,996.36,BK0000222,G0000925,Regent,2022-12-27,1345.39,2026-04-05T21:18:59.352579
438.92,388.53,1227.29,799.95,198.68,399.6,BK0000223,G0000654,Norwegian,2025-01-15,3452.97,2026-04-05T21:18:59.352597
61.42,332.49,859.48,12.06,34.85,256.56,BK0000224,G0017246,Oceania,2023-10-25,1556.86,2026-04-05T21:18:59.352615
0.0,157.68,72.69,0.0,128.65,251.47,BK0000225,G0015965,Regent,2023-09-11,610.49,2026-04-05T21:18:59.352633
429.41,173.36,1320.41,88.11,329.78,165.32,BK0000226,G0000059,Norwegian,2025-09-25,2506.39,2026-04-05T21:18:59.352652
524.78,454.53,1433.11,730.93,259.49,20.96,BK0000228,G0000042,Norwegian,2022-01-24,3423.8,2026-04-05T21:18:59.352670
0.0,65.99,2864.15,0.0,140.16,75.92,BK0000229,G0007392,Regent,2023-12-21,3146.22,2026-04-05T21:18:59.352688
390.76,387.47,215.33,368.1,862.99,51.56,BK0000231,G0017699,Norwegian,2022-04-20,2276.21,2026-04-05T21:18:59.352705
171.69,144.58,168.83,94.11,181.48,81.23,BK0000232,G0015740,Norwegian,2022-04-22,841.92,2026-04-05T21:18:59.352722
142.63,370.7,890.25,358.39,71.75,25.73,BK0000233,G0012699,Oceania,2023-09-24,1859.45,2026-04-05T21:18:59.352738
754.17,632.22,657.46,1197.45,1110.6,570.62,BK0000234,G0003169,Norwegian,2023-06-24,4922.52,2026-04-05T21:18:59.352755
813.85,545.96,440.24,992.9,1411.33,584.59,BK0000235,G0015560,Norwegian,2022-05-05,4788.87,2026-04-05T21:18:59.352771
987.98,923.8,2827.83,321.3,1643.62,45.39,BK0000236,G0001399,Norwegian,2024-07-08,6749.92,2026-04-05T21:18:59.352789
271.98,470.69,2053.18,192.68,79.1,619.39,BK0000237,G0015013,Oceania,2022-05-18,3687.02,2026-04-05T21:18:59.352805
0.0,1031.0,2961.81,0.0,69.06,818.05,BK0000239,G0013164,Regent,2025-03-17,4879.92,2026-04-05T21:18:59.352823
603.67,262.18,1057.03,685.9,683.3,533.03,BK0000240,G0003219,Norwegian,2022-02-11,3825.11,2026-04-05T21:18:59.352841
