booking_id,guest_id,brand,ship_name,itinerary_name,region,nights,cabin_category,num_guests,booking_date,sail_date,booking_window_days,cabin_price_usd,total_revenue_usd,booking_channel,is_cancelled,cancellation_date,cancellation_reason,loyalty_tier,_fivetran_synced
BK0000020,G0018449,Oceania,Riviera,Panama Canal,Americas,14,Concierge,2,2021-10-01,2022-09-26,360,4772.66,10494.26,Direct Web,True,2022-02-03,Work,Latitudes,2026-04-05T21:18:37.475370
BK0000021,G0017333,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Inside,2,2022-11-01,2023-05-16,196,2157.24,4103.82,Loyalty,False,,,None,2026-04-05T21:18:37.475376
BK0000022,G0008651,Oceania,Riviera,Panama Canal,Americas,14,Inside,2,2021-09-29,2022-08-08,313,4208.17,8633.58,OTA,False,,,Platinum,2026-04-05T21:18:37.475382
BK0000023,G0014479,Oceania,Marina,Hawaii Aloha,Hawaii,12,Veranda,2,2022-03-01,2022-04-01,31,3602.97,7441.95,Group,False,,,Latitudes,2026-04-05T21:18:37.475388
BK0000024,G0001308,Norwegian,Norwegian Bliss,Caribbean Classic,Caribbean,7,Balcony,2,2025-01-15,2025-04-07,82,772.45,1675.97,Travel Agent,False,,,Gold,2026-04-05T21:18:37.475394
BK0000025,G0000813,Oceania,Vista,Hawaii Aloha,Hawaii,12,Penthouse,3,2022-06-15,2022-11-13,151,12082.46,35410.21,OTA,False,,,Gold,2026-04-05T21:18:37.475400
BK0000026,G0015084,Norwegian,Norwegian Bliss,Panama Canal,Americas,14,Oceanview,2,2025-10-06,2025-12-07,62,767.13,1538.02,Travel Agent,False,,,None,2026-04-05T21:18:37.475406
BK0000027,G0010852,Oceania,Allura,Bermuda Getaway,Bermuda,5,Veranda,2,2021-12-02,2022-05-23,172,7119.83,15533.84,Direct Web,False,,,Platinum,2026-04-05T21:18:37.475412
BK0000028,G0003790,Norwegian,Norwegian Getaway,Panama Canal,Americas,14,Inside,2,2021-12-25,2022-08-11,229,3428.44,6910.22,Loyalty,False,,,None,2026-04-05T21:18:37.475417
BK0000029,G0010287,Norwegian,Norwegian Escape,Caribbean Classic,Caribbean,7,Haven Suite,2,2024-09-22,2025-01-07,107,1060.05,2225.06,Direct Web,False,,,Gold,2026-04-05T21:18:37.475423
BK0000030,G0005703,Norwegian,Norwegian Joy,Hawaii Aloha,Hawaii,12,Balcony,2,2023-10-29,2024-04-04,158,1349.55,2813.35,OTA,False,,,Latitudes,2026-04-05T21:18:37.475430
BK0000031,G0016751,Oceania,Vista,Panama Canal,Americas,14,Oceanview,2,2023-07-09,2024-05-30,326,4684.75,9566.05,Travel Agent,False,,,Gold,2026-04-05T21:18:37.475436
BK0000032,G0015570,Norwegian,Norwegian Getaway,Bermuda Getaway,Bermuda,5,Inside,2,2022-11-13,2023-04-27,165,1292.61,2693.0,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475442
BK0000033,G0003493,Regent,Seven Seas Splendor,Hawaii Aloha,Hawaii,12,Grand Suite,1,2023-09-27,2024-03-29,184,19601.73,20910.4,Travel Agent,False,,,None,2026-04-05T21:18:37.475448
BK0000034,G0018315,Regent,Seven Seas Mariner,Caribbean Classic,Caribbean,7,Master Suite,3,2021-12-13,2023-05-26,529,14369.41,44803.15,Group,False,,,Latitudes,2026-04-05T21:18:37.475454
BK0000035,G0017082,Oceania,Allura,Asia Discovery,Asia,14,Oceanview,2,2023-12-14,2024-08-30,260,4066.06,8316.63,Travel Agent,False,,,None,2026-04-05T21:18:37.475460
BK0000036,G0005008,Norwegian,Norwegian Joy,Norwegian Fjords,Europe,9,Balcony,3,2023-06-02,2023-11-19,170,846.63,2682.03,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475465
BK0000037,G0012465,Norwegian,Norwegian Escape,Hawaii Aloha,Hawaii,12,Inside,2,2022-07-21,2023-02-28,222,3539.32,7231.16,OTA,True,2022-08-16,Work,None,2026-04-05T21:18:37.475472
BK0000038,G0013249,Norwegian,Norwegian Escape,Norwegian Fjords,Europe,9,Mini-Suite,2,2022-10-31,2023-03-26,146,657.62,1392.35,Group,False,,,Platinum,2026-04-05T21:18:37.475478
BK0000039,G0001648,Regent,Seven Seas Explorer,Hawaii Aloha,Hawaii,12,Master Suite,1,2024-01-27,2025-03-01,399,17255.21,17065.81,OTA,False,,,None,2026-04-05T21:18:37.475483
BK0000040,G0007348,Norwegian,Norwegian Escape,Panama Canal,Americas,14,Mini-Suite,2,2023-04-14,2023-06-01,48,3720.26,7794.11,Direct Web,False,,,Gold,2026-04-05T21:18:37.475489
BK0000041,G0008397,Regent,Seven Seas Splendor,Caribbean Classic,Caribbean,7,Master Suite,1,2022-05-11,2022-11-09,182,18593.34,19802.55,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475495
BK0000042,G0012998,Regent,Seven Seas Explorer,Mediterranean Dreams,Mediterranean,10,Penthouse Suite,1,2021-08-19,2022-08-10,356,14946.07,16309.46,Travel Agent,False,,,None,2026-04-05T21:18:37.475500
BK0000043,G0012143,Oceania,Riviera,Alaska Explorer,Alaska,7,Veranda,3,2024-11-30,2025-11-02,337,9204.16,26517.47,OTA,True,2025-02-02,Weather,None,2026-04-05T21:18:37.475507
BK0000044,G0008851,Norwegian,Norwegian Escape,Alaska Explorer,Alaska,7,Mini-Suite,2,2023-05-15,2024-01-12,242,2187.85,4561.17,Loyalty,False,,,Gold,2026-04-05T21:18:37.475512
BK0000045,G0012419,Norwegian,Norwegian Getaway,Panama Canal,Americas,14,Balcony,2,2023-03-28,2023-05-18,51,2647.22,5296.87,Group,False,,,Platinum,2026-04-05T21:18:37.475518
BK0000046,G0007909,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Balcony,3,2023-07-02,2023-11-29,150,3313.64,10517.6,Group,True,2023-10-11,Personal,Latitudes,2026-04-05T21:18:37.475524
BK0000047,G0012093,Norwegian,Norwegian Escape,Asia Discovery,Asia,14,Mini-Suite,2,2021-12-13,2022-02-05,54,2317.31,4731.9,Loyalty,False,,,None,2026-04-05T21:18:37.475530
BK0000048,G0006067,Regent,Seven Seas Grandeur,Bermuda Getaway,Bermuda,5,Grand Suite,2,2022-12-05,2023-07-09,216,6603.64,12926.38,Group,True,2023-02-21,,None,2026-04-05T21:18:37.475537
BK0000049,G0008989,Norwegian,Norwegian Getaway,Panama Canal,Americas,14,Inside,2,2022-08-28,2023-02-02,158,1215.39,2325.84,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475543
BK0000050,G0008274,Oceania,Riviera,Asia Discovery,Asia,14,Inside,2,2021-03-09,2022-01-26,323,6076.76,13261.43,Group,False,,,None,2026-04-05T21:18:37.475548
BK0000051,G0018287,Norwegian,Norwegian Escape,Alaska Explorer,Alaska,7,Haven Suite,2,2025-06-09,2025-07-13,34,5661.79,12055.84,Loyalty,True,2025-06-27,Personal,Latitudes,2026-04-05T21:18:37.475556
BK0000052,G0003252,Oceania,Allura,Asia Discovery,Asia,14,Concierge,4,2022-10-05,2023-09-01,331,4609.58,20137.2,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475562
BK0000053,G0001070,Norwegian,Norwegian Encore,Mediterranean Dreams,Mediterranean,10,Oceanview,2,2022-11-07,2022-12-22,45,2441.86,4809.1,OTA,False,,,Gold,2026-04-05T21:18:37.475567
BK0000054,G0004661,Norwegian,Norwegian Bliss,Panama Canal,Americas,14,Haven Suite,2,2025-05-31,2025-09-16,108,2796.15,5372.59,Travel Agent,False,,,Gold,2026-04-05T21:18:37.475574
BK0000055,G0016181,Norwegian,Norwegian Getaway,Panama Canal,Americas,14,Mini-Suite,2,2022-01-09,2022-09-12,246,3264.54,6631.35,Loyalty,False,,,None,2026-04-05T21:18:37.475580
BK0000056,G0008832,Norwegian,Norwegian Joy,Panama Canal,Americas,14,Inside,4,2022-03-05,2022-07-07,124,3964.63,16436.36,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475585
BK0000057,G0010521,Oceania,Vista,Mediterranean Dreams,Mediterranean,10,Penthouse,3,2023-06-22,2024-06-11,355,10727.55,33808.52,Travel Agent,False,,,None,2026-04-05T21:18:37.475591
BK0000058,G0016863,Oceania,Vista,Hawaii Aloha,Hawaii,12,Penthouse,1,2021-06-28,2022-03-17,262,3903.18,4191.0,Direct Web,False,,,Gold,2026-04-05T21:18:37.475597
BK0000059,G0004294,Norwegian,Norwegian Escape,Caribbean Classic,Caribbean,7,Oceanview,2,2024-05-19,2024-11-27,192,2359.76,5140.27,Group,True,2024-09-19,Work,Platinum,2026-04-05T21:18:37.475603
BK0000060,G0015121,Norwegian,Norwegian Encore,Norwegian Fjords,Europe,9,Oceanview,2,2023-09-15,2023-09-29,14,1058.8,2312.54,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475609
BK0000061,G0004474,Oceania,Vista,Hawaii Aloha,Hawaii,12,Concierge,2,2024-03-24,2024-08-25,154,3200.67,6910.91,OTA,False,,,Gold,2026-04-05T21:18:37.475615
BK0000062,G0004870,Regent,Seven Seas Grandeur,Panama Canal,Americas,14,Deluxe Suite,2,2022-05-29,2023-08-03,431,17555.82,35707.91,Group,False,,,None,2026-04-05T21:18:37.475620
BK0000063,G0013461,Norwegian,Norwegian Getaway,Hawaii Aloha,Hawaii,12,Mini-Suite,4,2023-07-11,2023-10-22,103,1500.0,5739.28,Group,False,,,Gold,2026-04-05T21:18:37.475626
BK0000064,G0014428,Oceania,Allura,Mediterranean Dreams,Mediterranean,10,Concierge,2,2021-12-13,2022-03-17,94,8100.5,15633.26,Group,False,,,None,2026-04-05T21:18:37.475632
BK0000065,G0017486,Norwegian,Norwegian Bliss,Alaska Explorer,Alaska,7,Mini-Suite,2,2022-12-29,2023-06-27,180,2690.27,5418.21,OTA,False,,,Latitudes,2026-04-05T21:18:37.475637
BK0000066,G0014221,Regent,Seven Seas Mariner,Caribbean Classic,Caribbean,7,Master Suite,2,2021-11-22,2022-05-21,180,27062.84,59362.38,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475643
BK0000067,G0005901,Oceania,Marina,Caribbean Classic,Caribbean,7,Veranda,2,2021-10-27,2022-04-25,180,6039.09,11782.23,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475649
BK0000068,G0009426,Norwegian,Norwegian Bliss,Asia Discovery,Asia,14,Haven Suite,2,2022-06-18,2022-10-21,125,1540.54,3240.19,Travel Agent,True,2022-07-10,Weather,None,2026-04-05T21:18:37.475655
BK0000069,G0011763,Regent,Seven Seas Grandeur,Hawaii Aloha,Hawaii,12,Penthouse Suite,2,2023-03-20,2024-07-24,492,26386.34,54684.2,OTA,True,2024-01-10,Work,None,2026-04-05T21:18:37.475661
BK0000070,G0007541,Oceania,Allura,Panama Canal,Americas,14,Inside,4,2025-01-09,2025-03-05,55,10535.25,43871.3,OTA,False,,,None,2026-04-05T21:18:37.475667
BK0000071,G0002954,Norwegian,Norwegian Joy,Mediterranean Dreams,Mediterranean,10,Inside,2,2025-06-12,2025-07-09,27,3454.41,7506.05,OTA,False,,,Gold,2026-04-05T21:18:37.475673
BK0000072,G0009672,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Haven Suite,3,2024-05-31,2024-10-24,146,1642.96,5234.39,OTA,False,,,Gold,2026-04-05T21:18:37.475679
BK0000073,G0000457,Norwegian,Norwegian Encore,Mediterranean Dreams,Mediterranean,10,Oceanview,4,2025-03-21,2025-10-17,210,3471.08,13740.88,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475685
BK0000074,G0019992,Oceania,Vista,Hawaii Aloha,Hawaii,12,Veranda,2,2022-03-14,2022-08-10,149,8468.26,16652.07,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475690
BK0000075,G0004446,Norwegian,Norwegian Joy,Hawaii Aloha,Hawaii,12,Inside,4,2022-09-14,2022-10-14,30,1936.77,7811.36,OTA,True,2022-09-15,Work,Gold,2026-04-05T21:18:37.475696
BK0000076,G0012142,Oceania,Allura,Mediterranean Dreams,Mediterranean,10,Concierge,3,2025-06-15,2025-09-03,80,9156.28,26990.62,Group,False,,,Ambassador,2026-04-05T21:18:37.475702
BK0000077,G0014901,Regent,Seven Seas Explorer,Bermuda Getaway,Bermuda,5,Master Suite,1,2024-12-13,2025-08-13,243,10585.06,10201.36,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475708
BK0000078,G0019215,Norwegian,Norwegian Encore,Caribbean Classic,Caribbean,7,Balcony,3,2023-03-04,2023-05-14,71,1551.44,4572.37,Travel Agent,False,,,None,2026-04-05T21:18:37.475714
BK0000079,G0004319,Norwegian,Norwegian Getaway,Caribbean Classic,Caribbean,7,Balcony,2,2022-08-12,2022-10-24,73,3952.04,7526.49,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475719
BK0000080,G0003574,Norwegian,Norwegian Joy,Caribbean Classic,Caribbean,7,Oceanview,2,2024-03-08,2024-05-12,65,2769.39,5637.37,Travel Agent,False,,,Platinum,2026-04-05T21:18:37.475725
BK0000081,G0016066,Norwegian,Norwegian Getaway,Panama Canal,Americas,14,Mini-Suite,1,2025-07-19,2025-08-10,22,2679.89,2832.27,Group,False,,,None,2026-04-05T21:18:37.475730
BK0000082,G0019576,Norwegian,Norwegian Getaway,Mediterranean Dreams,Mediterranean,10,Inside,2,2022-04-22,2022-09-16,147,2982.6,6141.67,Group,False,,,Latitudes,2026-04-05T21:18:37.475736
BK0000083,G0010242,Norwegian,Norwegian Encore,Norwegian Fjords,Europe,9,Mini-Suite,2,2024-03-12,2024-07-13,123,4633.17,9396.2,OTA,False,,,None,2026-04-05T21:18:37.475742
BK0000084,G0001966,Norwegian,Norwegian Escape,Alaska Explorer,Alaska,7,Inside,2,2022-05-01,2022-06-24,54,4973.59,10324.87,Loyalty,False,,,Latitudes,2026-04-05T21:18:37.475747
BK0000085,G0015801,Oceania,Allura,Bermuda Getaway,Bermuda,5,Concierge,2,2021-10-21,2022-04-16,177,5439.8,10701.57,Direct Web,False,,,None,2026-04-05T21:18:37.475753
BK0000086,G0018244,Norwegian,Norwegian Encore,Panama Canal,Americas,14,Haven Suite,3,2022-08-26,2023-04-09,226,4286.23,12266.39,OTA,False,,,None,2026-04-05T21:18:37.475759
BK0000087,G0001005,Norwegian,Norwegian Joy,Bermuda Getaway,Bermuda,5,Balcony,3,2021-10-06,2022-01-13,99,2815.34,8139.97,Loyalty,False,,,None,2026-04-05T21:18:37.475764
BK0000088,G0001631,Norwegian,Norwegian Joy,Mediterranean Dreams,Mediterranean,10,Balcony,3,2023-04-11,2023-10-01,173,2730.47,8609.95,OTA,True,2023-08-21,Work,Latitudes,2026-04-05T21:18:37.475770
BK0000089,G0019436,Norwegian,Norwegian Getaway,Asia Discovery,Asia,14,Mini-Suite,3,2023-03-19,2023-07-14,117,1004.72,3083.47,OTA,False,,,None,2026-04-05T21:18:37.475776
BK0000090,G0003932,Norwegian,Norwegian Getaway,Caribbean Classic,Caribbean,7,Inside,4,2022-09-15,2023-02-23,161,4692.4,17852.88,Group,False,,,None,2026-04-05T21:18:37.475781
BK0000091,G0014067,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Inside,2,2024-02-25,2024-03-24,28,2511.24,5203.34,Group,False,,,None,2026-04-05T21:18:37.475788
BK0000092,G0017170,Norwegian,Norwegian Joy,Mediterranean Dreams,Mediterranean,10,Haven Suite,1,2024-01-21,2024-07-31,192,4824.07,4639.78,OTA,False,,,Gold,2026-04-05T21:18:37.475794
BK0000093,G0004840,Norwegian,Norwegian Bliss,Alaska Explorer,Alaska,7,Haven Suite,2,2025-05-16,2025-07-20,65,1939.98,3823.47,Travel Agent,False,,,None,2026-04-05T21:18:37.475801
BK0000094,G0018498,Norwegian,Norwegian Bliss,Alaska Explorer,Alaska,7,Oceanview,2,2024-10-24,2025-07-10,259,3429.82,7178.26,Loyalty,False,,,None,2026-04-05T21:18:37.475807
BK0000095,G0010172,Regent,Seven Seas Grandeur,Mediterranean Dreams,Mediterranean,10,Grand Suite,2,2021-07-24,2022-05-20,300,10443.34,21288.99,Direct Web,True,2021-09-02,Personal,None,2026-04-05T21:18:37.475814
BK0000096,G0001345,Oceania,Marina,Alaska Explorer,Alaska,7,Penthouse,2,2024-07-16,2025-05-01,289,7448.88,15157.88,Loyalty,False,,,Gold,2026-04-05T21:18:37.475820
BK0000097,G0001283,Norwegian,Norwegian Escape,Mediterranean Dreams,Mediterranean,10,Inside,3,2024-05-13,2024-07-11,59,6061.62,17951.39,Group,True,2024-05-30,Medical,Ambassador,2026-04-05T21:18:37.475826
BK0000098,G0010804,Norwegian,Norwegian Getaway,Mediterranean Dreams,Mediterranean,10,Balcony,2,2023-09-05,2024-02-03,151,3752.06,7235.29,Group,True,2023-11-09,Personal,None,2026-04-05T21:18:37.475832
BK0000099,G0004226,Oceania,Riviera,Bermuda Getaway,Bermuda,5,Inside,4,2024-12-27,2025-04-08,102,5056.32,21019.25,Direct Web,False,,,None,2026-04-05T21:18:37.475838
BK0000100,G0011198,Norwegian,Norwegian Joy,Mediterranean Dreams,Mediterranean,10,Haven Suite,2,2021-11-30,2022-07-11,223,764.5,1669.9,Group,False,,,None,2026-04-05T21:18:37.475843
BK0000101,G0004295,Regent,Seven Seas Splendor,Alaska Explorer,Alaska,7,Penthouse Suite,3,2021-09-11,2022-07-27,319,29691.18,92599.69,Travel Agent,True,2022-02-04,Work,None,2026-04-05T21:18:37.475850
BK0000102,G0014711,Oceania,Riviera,Asia Discovery,Asia,14,Inside,2,2023-09-18,2024-04-21,216,3898.18,7680.2,Travel Agent,False,,,None,2026-04-05T21:18:37.475855
BK0000103,G0017284,Oceania,Allura,Norwegian Fjords,Europe,9,Veranda,4,2024-12-03,2025-10-21,322,5884.57,23839.55,Travel Agent,False,,,Gold,2026-04-05T21:18:37.475861
BK0000104,G0004086,Oceania,Riviera,Panama Canal,Americas,14,Inside,3,2024-11-03,2025-08-06,276,6610.52,19687.97,Travel Agent,False,,,None,2026-04-05T21:18:37.475866
BK0000105,G0007726,Regent,Seven Seas Splendor,Hawaii Aloha,Hawaii,12,Deluxe Suite,2,2021-12-08,2023-03-31,478,11125.09,22426.51,Direct Web,True,2022-07-16,Price,None,2026-04-05T21:18:37.475873
BK0000106,G0015372,Norwegian,Norwegian Encore,Bermuda Getaway,Bermuda,5,Oceanview,2,2022-09-13,2022-10-09,26,4333.28,8816.41,Direct Web,False,,,Platinum,2026-04-05T21:18:37.475879
BK0000107,G0014979,Norwegian,Norwegian Bliss,Mediterranean Dreams,Mediterranean,10,Haven Suite,1,2024-10-20,2025-05-31,223,1555.1,1492.0,Group,True,2025-02-12,,Latitudes,2026-04-05T21:18:37.475885
BK0000108,G0002806,Norwegian,Norwegian Getaway,Norwegian Fjords,Europe,9,Oceanview,1,2023-01-06,2023-08-20,226,2209.92,2272.95,OTA,False,,,None,2026-04-05T21:18:37.475891
BK0000109,G0011299,Norwegian,Norwegian Getaway,Caribbean Classic,Caribbean,7,Mini-Suite,2,2024-07-22,2024-08-20,29,4794.48,9456.33,Direct Web,True,2024-07-25,Personal,Gold,2026-04-05T21:18:37.475897
BK0000110,G0015681,Oceania,Vista,Mediterranean Dreams,Mediterranean,10,Inside,2,2023-02-17,2023-12-23,309,7963.99,16640.92,Travel Agent,False,,,None,2026-04-05T21:18:37.475903
BK0000111,G0013050,Oceania,Allura,Caribbean Classic,Caribbean,7,Veranda,3,2022-12-27,2023-02-17,52,14407.69,47474.85,Loyalty,False,,,Latitudes,2026-04-05T21:18:37.475908
BK0000112,G0014410,Norwegian,Norwegian Bliss,Panama Canal,Americas,14,Balcony,2,2021-10-14,2022-04-08,176,3762.94,8159.53,Group,False,,,None,2026-04-05T21:18:37.475914
BK0000113,G0017875,Norwegian,Norwegian Escape,Bermuda Getaway,Bermuda,5,Haven Suite,2,2023-05-13,2023-07-01,49,955.97,1900.59,Direct Web,False,,,None,2026-04-05T21:18:37.475920
BK0000114,G0011553,Oceania,Vista,Asia Discovery,Asia,14,Penthouse,2,2024-01-28,2024-05-22,115,5149.76,10734.45,Group,False,,,None,2026-04-05T21:18:37.475925
BK0000115,G0019909,Regent,Seven Seas Explorer,Alaska Explorer,Alaska,7,Grand Suite,3,2023-02-27,2024-01-15,322,19532.74,61628.53,Group,False,,,None,2026-04-05T21:18:37.475931
BK0000116,G0002520,Norwegian,Norwegian Joy,Bermuda Getaway,Bermuda,5,Mini-Suite,2,2025-02-12,2025-03-07,23,3747.86,7766.23,Loyalty,False,,,None,2026-04-05T21:18:37.475937
BK0000117,G0008530,Norwegian,Norwegian Joy,Norwegian Fjords,Europe,9,Inside,2,2021-11-13,2022-02-23,102,2130.66,4498.27,Travel Agent,False,,,Ambassador,2026-04-05T21:18:37.475942
BK0000118,G0011385,Norwegian,Norwegian Escape,Norwegian Fjords,Europe,9,Inside,2,2022-08-22,2022-10-05,44,4528.2,9567.46,Loyalty,True,2022-08-22,Price,Latitudes,2026-04-05T21:18:37.475948
BK0000119,G0000862,Regent,Seven Seas Splendor,Mediterranean Dreams,Mediterranean,10,Penthouse Suite,1,2024-05-17,2024-11-07,174,8888.61,8925.36,Loyalty,False,,,None,2026-04-05T21:18:37.475954
BK0000120,G0018839,Oceania,Riviera,Alaska Explorer,Alaska,7,Inside,4,2023-02-05,2023-09-26,233,8442.22,32454.01,OTA,False,,,Latitudes,2026-04-05T21:18:37.475960
BK0000121,G0004069,Norwegian,Norwegian Getaway,Bermuda Getaway,Bermuda,5,Oceanview,3,2024-10-26,2025-02-03,100,1073.71,3310.4,OTA,False,,,None,2026-04-05T21:18:37.475966
BK0000122,G0009923,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Haven Suite,2,2023-06-19,2023-08-05,47,3410.5,7108.6,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475972
BK0000123,G0018900,Norwegian,Norwegian Getaway,Mediterranean Dreams,Mediterranean,10,Oceanview,3,2025-03-16,2025-09-11,179,2924.73,8683.8,Travel Agent,True,2025-08-30,,Gold,2026-04-05T21:18:37.475978
BK0000124,G0002392,Norwegian,Norwegian Encore,Asia Discovery,Asia,14,Haven Suite,2,2023-03-09,2023-08-17,161,3878.91,8171.25,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475984
BK0000125,G0013066,Norwegian,Norwegian Bliss,Bermuda Getaway,Bermuda,5,Haven Suite,3,2022-05-08,2022-10-22,167,1933.65,5624.69,OTA,False,,,Latitudes,2026-04-05T21:18:37.475989
BK0000126,G0013702,Norwegian,Norwegian Bliss,Asia Discovery,Asia,14,Inside,2,2022-11-07,2023-07-02,237,852.95,1684.13,Travel Agent,False,,,Gold,2026-04-05T21:18:37.475995
BK0000127,G0014983,Regent,Seven Seas Grandeur,Norwegian Fjords,Europe,9,Superior Suite,2,2023-11-29,2024-10-17,323,22923.48,50202.56,Travel Agent,True,2024-03-29,Work,Latitudes,2026-04-05T21:18:37.476001
BK0000128,G0008667,Norwegian,Norwegian Joy,Asia Discovery,Asia,14,Haven Suite,2,2024-12-28,2025-09-01,247,518.55,1098.42,Group,False,,,None,2026-04-05T21:18:37.476006
BK0000129,G0003894,Norwegian,Norwegian Getaway,Norwegian Fjords,Europe,9,Balcony,1,2024-09-06,2025-02-07,154,2660.85,2579.16,Direct Web,False,,,None,2026-04-05T21:18:37.476012
